Onset,Case Number,Original,Time
2/15/16,2,2/15/16,0
2/16/16,2,2/15/16,1
2/17/16,2,2/15/16,2
2/18/16,3,2/15/16,3
2/19/16,1,2/15/16,4
2/20/16,2,2/15/16,5
2/21/16,4,2/15/16,6
2/22/16,1,2/15/16,7
2/23/16,2,2/15/16,8
2/24/16,3,2/15/16,9
2/27/16,1,2/15/16,12
2/29/16,1,2/15/16,14
3/1/16,1,2/15/16,15
3/2/16,1,2/15/16,16
3/3/16,5,2/15/16,17
3/4/16,1,2/15/16,18
3/5/16,2,2/15/16,19
3/6/16,2,2/15/16,20
3/7/16,4,2/15/16,21
3/8/16,1,2/15/16,22
3/9/16,1,2/15/16,23
3/11/16,1,2/15/16,25
3/12/16,3,2/15/16,26
3/13/16,3,2/15/16,27
3/14/16,3,2/15/16,28
3/15/16,3,2/15/16,29
3/16/16,6,2/15/16,30
3/17/16,1,2/15/16,31
3/18/16,1,2/15/16,32
3/19/16,1,2/15/16,33
3/21/16,1,2/15/16,35
3/22/16,4,2/15/16,36
3/25/16,1,2/15/16,39
3/27/16,3,2/15/16,41
3/28/16,2,2/15/16,42
3/29/16,1,2/15/16,43
3/31/16,1,2/15/16,45
4/2/16,1,2/15/16,47
4/4/16,1,2/15/16,49
4/6/16,1,2/15/16,51
4/7/16,1,2/15/16,52
4/10/16,1,2/15/16,55
4/11/16,3,2/15/16,56
4/14/16,1,2/15/16,59
4/17/16,1,2/15/16,62
4/18/16,2,2/15/16,63
4/19/16,9,2/15/16,64
4/20/16,2,2/15/16,65
4/21/16,2,2/15/16,66
4/22/16,2,2/15/16,67
4/23/16,2,2/15/16,68
4/24/16,5,2/15/16,69
4/25/16,4,2/15/16,70
4/26/16,2,2/15/16,71
4/27/16,2,2/15/16,72
4/28/16,4,2/15/16,73
4/29/16,2,2/15/16,74
4/30/16,7,2/15/16,75
5/1/16,4,2/15/16,76
5/2/16,6,2/15/16,77
5/3/16,4,2/15/16,78
5/4/16,4,2/15/16,79
5/5/16,6,2/15/16,80
5/6/16,1,2/15/16,81
5/7/16,2,2/15/16,82
5/8/16,5,2/15/16,83
5/9/16,4,2/15/16,84
5/10/16,3,2/15/16,85
5/12/16,2,2/15/16,87
5/13/16,3,2/15/16,88
5/15/16,2,2/15/16,90
5/17/16,2,2/15/16,92
5/18/16,1,2/15/16,93
5/19/16,1,2/15/16,94
5/25/16,1,2/15/16,100
5/27/16,1,2/15/16,102
5/28/16,1,2/15/16,103
5/30/16,1,2/15/16,105
6/3/16,1,2/15/16,109
6/8/16,1,2/15/16,114
6/16/16,1,2/15/16,122
7/1/16,1,2/15/16,137
7/4/16,1,2/15/16,140
7/8/16,1,2/15/16,144
7/29/16,1,2/15/16,165
8/27/16,1,2/15/16,194
9/11/16,1,2/15/16,209
10/24/16,1,2/15/16,252
10/30/16,1,2/15/16,258
11/6/16,1,2/15/16,265
11/9/16,1,2/15/16,268
11/10/16,1,2/15/16,269
11/13/16,1,2/15/16,272
11/16/16,1,2/15/16,275
11/17/16,1,2/15/16,276
11/28/16,1,2/15/16,287
12/1/16,1,2/15/16,290
12/8/16,1,2/15/16,297
12/14/16,1,2/15/16,303
2/4/17,2,2/15/16,355
2/5/17,1,2/15/16,356
2/14/17,1,2/15/16,365
2/20/17,1,2/15/16,371
3/3/17,1,2/15/16,382
3/7/17,1,2/15/16,386
3/17/17,1,2/15/16,396
4/1/17,1,2/15/16,411
4/3/17,1,2/15/16,413
4/18/17,1,2/15/16,428
5/8/17,1,2/15/16,448
5/25/17,1,2/15/16,465
6/17/17,1,2/15/16,488
6/19/17,1,2/15/16,490
6/21/17,1,2/15/16,492
6/26/17,1,2/15/16,497
8/5/17,1,2/15/16,537
8/27/17,1,2/15/16,559
8/29/17,1,2/15/16,561
9/1/17,1,2/15/16,564
9/6/17,1,2/15/16,569
9/10/17,1,2/15/16,573
9/20/17,1,2/15/16,583
10/7/17,1,2/15/16,600
